Ns_diag,cutoff,tail_probability,eta_s,eta_i,Gamma,Fq_fock,local_variance,qzzb_bound,guard_ratio,phase_wrapping_probability,Geff_analytic_envelope,classification
1.5,8,0.016796159999999994,0.6000000000000001,0.9,1.125,0.43032674321692577,2.3238156023594017,0.5635063338421872,0.24249184542441815,0.039316148775047695,0.3689232583617611,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,1.125,0.4621269159431006,2.163907717773195,0.554323056758541,0.2561676046559769,0.032707782340365255,0.4271742991557233,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,1.125,0.4898167616546651,2.0415797871470733,0.5465879640211629,0.26772794649626264,0.027899002454611996,0.5072694802474216,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,1.125,0.5144024293272387,1.9440032608474462,0.5399008046480599,0.2777262855066929,0.024246006613369314,0.6243316679968266,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,1.125,0.5368540191018756,1.862703760089083,0.5339094384414287,0.28663142786370643,0.021343346392998595,0.8116311683958743,stop-extrapolation
1.5,8,0.016796159999999994,0.2,0.9,1.5,0.1524406325314573,6.559930796624334,0.6669616691987543,0.10167205872689468,0.2199758543993786,0.16406629422678662,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,1.5,0.19808589612370572,5.048314996517948,0.6457886492671352,0.12792162329659798,0.1620459108443093,0.17994367753905632,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,1.5,0.2338020714091702,4.277122071557395,0.63093579880854,0.1475140966876361,0.12874816696249503,0.1992233572753838,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,1.5,0.26277903047924955,3.8054786874592925,0.6197305766582542,0.16285220009260226,0.10730128670732679,0.22313016014842982,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,1.5,0.28692854892522773,3.485188224545043,0.61087091985962,0.17527630661593988,0.09241062580317357,0.2535570001686703,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,1.5,0.3074907034662485,3.2521308407939045,0.6036250767078392,0.18560909946676168,0.08149600971297437,0.29359231598477603,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,1.5,0.32533155293704175,3.0737873131952873,0.5975362640811334,0.1943974007297134,0.07314951723320326,0.34864087523192167,stop-extrapolation
