Ns_diag,cutoff,tail_probability,eta_s,eta_i,gamma,Fq_fock,Fq_coherent,advantage_ratio_fock,covariance_purity,epr_correlation_strength,ideal_idler_analytic_ratio
1.5,8,0.016796159999999994,0.44,0.6799999999999999,0.0,2.084902245511974,2.64,0.7897356990575658,0.38989394884591383,2.995997329771841,0.9328358208955223
1.5,8,0.016796159999999994,0.52,0.6799999999999999,0.0,2.506288096079425,3.12,0.8032974666921233,0.40348612007746903,3.256992477731565,1.0245901639344261
1.5,8,0.016796159999999994,0.6000000000000001,0.6799999999999999,0.0,2.945017232216598,3.6000000000000005,0.8180603422823882,0.41806020066889643,3.4985711369071804,1.1363636363636365
1.5,8,0.016796159999999994,0.6799999999999999,0.6799999999999999,0.0,3.4030885871379617,4.08,0.8340903399847945,0.4337265787647468,3.7245133910351296,1.2755102040816326
1.5,8,0.016796159999999994,0.76,0.6799999999999999,0.0,3.8827319101751003,4.5600000000000005,0.8514762960910307,0.4506128334534967,3.937511904743908,1.4534883720930232
1.5,8,0.016796159999999994,0.8400000000000001,0.6799999999999999,0.0,4.386615567309112,5.040000000000001,0.8703602316089506,0.4688672168042006,4.1395651945584815,1.6891891891891895
1.5,8,0.016796159999999994,0.9199999999999999,0.6799999999999999,0.0,4.917497636651196,5.52,0.8908510211324631,0.48866301798279893,4.332204981299938,2.016129032258064
1.5,8,0.016796159999999994,1.0,0.6799999999999999,0.0,5.476942658789104,6.0,0.9128237764648507,0.510204081632653,4.516635916254486,2.5
1.5,8,0.016796159999999994,0.2,0.76,0.0,0.9810969109174575,1.2000000000000002,0.8175807590978812,0.3369272237196765,2.1354156504062622,0.7352941176470588
1.5,8,0.016796159999999994,0.28,0.76,0.0,1.4034954813378584,1.6800000000000002,0.8354139769868204,0.3517163759144625,2.5266578715766013,0.7911392405063291
1.5,8,0.016796159999999994,0.36,0.76,0.0,1.8468380329846472,2.16,0.8550176078632625,0.36786344908769864,2.864960732715198,0.8561643835616438
1.5,8,0.016796159999999994,0.44,0.76,0.0,2.313444326944994,2.64,0.8763046692973461,0.38556446637877834,3.1673332631726647,0.9328358208955223
1.5,8,0.016796159999999994,0.52,0.76,0.0,2.806199879155052,3.12,0.8994230381907218,0.4050550874918987,3.443254274665175,1.0245901639344261
1.5,8,0.016796159999999994,0.6000000000000001,0.76,0.0,3.3282022254217947,3.6000000000000005,0.9245006181727206,0.4266211604095565,3.6986484017813868,1.1363636363636365
1.5,8,0.016796159999999994,0.6799999999999999,0.76,0.0,3.8827319101750937,4.08,0.9516499779840916,0.45061283345349645,3.937511904743908,1.2755102040816326
1.5,8,0.016796159999999994,0.76,0.76,0.0,4.47371047895945,4.5600000000000005,0.981076859420932,0.4774637127578302,4.162691437039263,1.4534883720930232
1.5,8,0.016796159999999994,0.8400000000000001,0.76,0.0,5.10586932391935,5.040000000000001,1.013069310301458,0.507717303005686,4.3762998069145125,1.6891891891891895
1.5,8,0.016796159999999994,0.9199999999999999,0.76,0.0,5.784079023339524,5.52,1.0478404027788994,0.542064180398959,4.57995633166955,2.016129032258064
1.5,8,0.016796159999999994,1.0,0.76,0.0,6.5120128853527905,6.0,1.0853354808921318,0.5813953488372098,4.77493455452533,2.5
1.5,8,0.016796159999999994,0.2,0.8400000000000001,0.0,1.051924102072245,1.2000000000000002,0.8766034183935373,0.3213367609254498,2.2449944320643653,0.7352941176470588
1.5,8,0.016796159999999994,0.28,0.8400000000000001,0.0,1.5166300522009535,1.6800000000000002,0.9027559834529484,0.33912099837221915,2.6563132345414386,0.7911392405063291
1.5,8,0.016796159999999994,0.36,0.8400000000000001,0.0,2.011932585764207,2.16,0.9314502711871329,0.3589890867317631,3.0119760955226718,0.8561643835616438
