Ns,a,eta_s,gamma_max,GQ
10.0,1.0,0.3648241206030151,0.40295569650273866,1.4962406015037595
10.0,1.0,0.36884422110552767,0.40843891791727005,1.50446735395189
10.0,1.0,0.37286432160804023,0.4139523708913792,1.5127850725639256
10.0,1.0,0.3768844221105528,0.4194963906354951,1.5211952744961779
10.0,1.0,0.38090452261306534,0.4250713179664122,1.5296995108315865
10.0,1.0,0.38492462311557796,0.43067749943301076,1.5382993675333805
10.0,1.0,0.3889447236180905,0.4363152874455249,1.5469964664310953
10.0,1.0,0.3929648241206031,0.441985040408474,1.5557924662402276
10.0,1.0,0.39698492462311563,0.4476871228573818,1.5646890636168693
10.0,1.0,0.4010050251256282,0.45342190559942014,1.573687994248742
10.0,1.0,0.40502512562814075,0.45918976585810484,1.5827910339840927
10.0,1.0,0.4090452261306533,0.4649910874221913,1.592
10.0,1.0,0.41306532663316586,0.4708262607989135,1.6013167520117046
10.0,1.0,0.4170854271356784,0.4766956833717193,1.6107431935246506
10.0,1.0,0.421105527638191,0.4825997595626641,1.620281273131014
10.0,1.0,0.42512562814070354,0.4885389009996253,1.6299329858525688
10.0,1.0,0.4291457286432161,0.49451352668851306,1.6397003745318353
10.0,1.0,0.43316582914572865,0.5005240631906555,1.6495855312735495
10.0,1.0,0.4371859296482412,0.5065709448055484,1.65959059893859
10.0,1.0,0.44120603015075377,0.512654613759163,1.669717772692601
10.0,1.0,0.4452261306532663,0.5187755203980179,1.6799693016116655
10.0,1.0,0.44924623115577894,0.524934123389225,1.6903474903474907
10.0,1.0,0.4532663316582915,0.5311308899267363,1.7008547008547008
10.0,1.0,0.45728643216080406,0.5373662959440203,1.7114933541829556
10.0,1.0,0.4613065326633166,0.5436408263334088,1.7222659323367426
10.0,1.0,0.4653266331658292,0.549954975172372,1.7331749802058594
10.0,1.0,0.46934673366834173,0.5563092459569787,1.7442231075697212
10.0,1.0,0.4733668341708543,0.5627041518428266,1.7554129911788294
10.0,1.0,0.47738693467336685,0.5691402158937203,1.7667473769168682
10.0,1.0,0.48140703517587946,0.5756179713384095,1.7782290820471163
10.0,1.0,0.485427135678392,0.5821379618356907,1.7898609975470157
10.0,1.0,0.4894472361809046,0.5887007417482141,1.8016460905349794
10.0,1.0,0.49346733668341713,0.5953068764253314,1.8135874067937034
10.0,1.0,0.4974874371859297,0.6019569424953488,1.8256880733944956
10.0,1.0,0.5015075376884423,0.6086515281675628,1.837951301427372
10.0,1.0,0.5055276381909548,0.6153912335444762,1.8503803888419275
10.0,1.0,0.5095477386934674,0.6221766709446036,1.8629787234042554
10.0,1.0,0.5135678391959799,0.629008465236307,1.8757497857754928
10.0,1.0,0.5175879396984925,0.6358872541831113,1.8886971527178604
10.0,1.0,0.521608040201005,0.6428136888009802,1.9018245004344048
10.0,1.0,0.5256281407035177,0.6497884337280524,1.915135608048994
10.0,1.0,0.5296482412060302,0.6568121676073599,1.9286343612334802
10.0,1.0,0.5336683417085428,0.6638855834830868,1.9423247559893526
10.0,1.0,0.5376884422110553,0.6710093892109378,1.9562109025915997
10.0,1.0,0.5417085427135679,0.6781843078832331,1.9702970297029707
10.0,1.0,0.5457286432160804,0.6854110782693604,1.984587488667271
10.0,1.0,0.5497487437185931,0.6926904552722619,1.999086757990868
10.0,1.0,0.5537688442211055,0.7000232104016533,2.0137994480220787
10.0,1.0,0.5577889447236182,0.7074101322647283,2.0287303058387396
10.0,1.0,0.5618090452261306,0.7148520270751141,2.0438842203548084
10.0,1.0,0.5658291457286433,0.7223497191809152,2.0592662276575733
10.0,1.0,0.5698492462311558,0.7299040516126962,2.074881516587678
10.0,1.0,0.5738693467336684,0.7375158866523263,2.0907354345749765
10.0,1.0,0.577889447236181,0.7451861064236356,2.1068334937439848
10.0,1.0,0.5819095477386935,0.7529156135059032,2.123181377303589
10.0,1.0,0.5859296482412061,0.7607053315712367,2.1397849462365595
10.0,1.0,0.5899497487437186,0.7685562060469752,2.1566502463054187
10.0,1.0,0.5939698492462312,0.7764692048043007,2.1737835153922545
10.0,1.0,0.5979899497487438,0.7844453188743095,2.191191191191191
10.0,1.0,0.6020100502512563,0.7924855631928751,2.2088799192734614
10.0,1.0,0.6060301507537689,0.8005909773756966,2.2268565615462874
10.0,1.0,0.6100502512562815,0.8087626265250161,2.2451282051282058
10.0,1.0,0.614070351758794,0.8170016020695686,2.263702171664943
10.0,1.0,0.6180904522613067,0.825309022639425,2.282586027111575
10.0,1.0,0.6221105527638191,0.8336860349774726,2.301787592008412
10.0,1.0,0.6261306532663318,0.8421338148894056,2.321314952279958
10.0,1.0,0.6301507537688442,0.850653568234176,2.3411764705882354
10.0,1.0,0.6341708542713569,0.859246531957008,2.3613807982740025
10.0,1.0,0.6381909547738693,0.8679139751671759,2.381936887921654
10.0,1.0,0.642211055276382,0.876657200262905,2.40285400658617
10.0,1.0,0.6462311557788945,0.8854775441058775,2.424141749723145
10.0,1.0,0.6502512562814071,0.8943763792480078,2.4458100558659224
10.0,1.0,0.6542713567839197,0.9033551152132837,2.4678692220969567
10.0,1.0,0.6582914572864322,0.912415199837686,2.4903299203640503
10.0,1.0,0.6623115577889448,0.9215581206703602,2.513203214695752
10.0,1.0,0.6663316582914574,0.9307854064394352,2.5365005793742763
10.0,1.0,0.6703517587939699,0.9400986285861029,2.5602339181286555
10.0,1.0,0.6743718592964825,0.9494994028708088,2.584415584415585
10.0,1.0,0.678391959798995,0.9589893910556568,2.6090584028605486
10.0,1.0,0.6824120603015076,0.9685703026674148,2.634175691937425
10.0,1.0,0.6864321608040201,0.9782438968457933,2.659781287970839
10.0,1.0,0.6904522613065327,0.9880119842820002,2.6858895705521473
10.0,1.0,0.6944723618090454,0.9978764292529144,2.712515489467163
10.0,1.0,0.6984924623115578,1.0078391517565883,2.7396745932415523
10.0,1.0,0.7025125628140705,1.0179021297552096,2.7673830594184587
10.0,1.0,0.7065326633165829,1.0280674015320599,2.7956577266922094
10.0,1.0,0.7105527638190956,1.0383370681695163,2.824516129032259
10.0,1.0,0.714572864321608,1.0487132961556067,2.853976531942634
10.0,1.0,0.7185929648241207,1.0591983201272333,2.8840579710144936
10.0,1.0,0.7226130653266332,1.069794445758728,2.914780292942743
10.0,1.0,0.7266331658291458,1.080504052805104,2.946164199192464
10.0,1.0,0.7306532663316583,1.0913295983100262,2.9782312925170067
10.0,1.0,0.734673366834171,1.1022736199893437,3.011004126547456
10.0,1.0,0.7386934673366834,1.1133387398018162,3.0445062586926284
10.0,1.0,0.7427135678391961,1.1245276677196223,3.0787623066104084
10.0,1.0,0.7467336683417085,1.1358432057121979,3.1137980085348502
10.0,1.0,0.7507537688442212,1.147288251958071,3.1496402877697847
10.0,1.0,0.7547738693467336,1.1588658053005136,3.1863173216885006
10.0,1.0,0.7587939698492463,1.1705789699641669,3.2238586156111935
10.0,1.0,0.762814070351759,1.1824309605511816,3.2622950819672147
10.0,1.0,0.7668341708542714,1.1944251073370007,3.3016591251885377
10.0,1.0,0.7708542713567841,1.2065648618876115,3.341984732824429
10.0,1.0,0.7748743718592965,1.2188538030219624,3.3833075734157654
10.0,1.0,0.7788944723618092,1.2312956431453286,3.4256651017214415
10.0,1.0,0.7829145728643216,1.24389423498165,3.4690966719492873
10.0,1.0,0.7869346733668343,1.2566535787354103,3.513643659711077
10.0,1.0,0.7909547738693468,1.2695778297163451,3.559349593495935
10.0,1.0,0.7949748743718594,1.282671306463365,3.606260296540364
10.0,1.0,0.7989949748743719,1.2959384994074137,3.654424040066778
10.0,1.0,0.8030150753768845,1.309384080116765,3.7038917089678525
