eta,Gamma,G_eff,P_wrap
0.7033519553072626,0.33519553072625696,0.9460573682505278,3.445766456957197e-10
0.7335195530726256,0.33519553072625696,0.993639266312181,5.0415813714082455e-11
0.7636871508379888,0.33519553072625696,1.0462608946686942,6.042224491038802e-12
0.7938547486033519,0.33519553072625696,1.1047677172217933,5.735857209901397e-13
0.8240223463687151,0.33519553072625696,1.1702055125380386,4.1376239095226705e-14
0.8541899441340782,0.33519553072625696,1.2438834344312224,2.1533182186805e-15
0.8843575418994413,0.33519553072625696,1.3274624955584964,7.569654601463507e-17
0.9145251396648044,0.33519553072625696,1.4230822929264275,1.6513381355611231e-18
0.9446927374301676,0.33519553072625696,1.5335467545718906,2.0005700235294082e-20
0.9748603351955307,0.33519553072625696,1.662603676255343,1.1603196124190518e-22
0.1,0.5027932960893855,0.40867486758092564,0.11978915207726834
0.13016759776536313,0.5027932960893855,0.4189217842421406,0.07233868213936236
0.16033519553072625,0.5027932960893855,0.4296957688503685,0.043398297144248005
0.19050279329608938,0.5027932960893855,0.44103856085847654,0.025710103905316795
0.22067039106145253,0.5027932960893855,0.452996426441585,0.014973650035345941
0.2508379888268156,0.5027932960893855,0.4656207892634562,0.008541135820069126
0.2810055865921788,0.5027932960893855,0.4789689697378288,0.00475517035492268
0.31117318435754193,0.5027932960893855,0.49310505519921133,0.002575150259556534
0.34134078212290503,0.5027932960893855,0.5081009288508487,0.0013517836312918758
0.3715083798882681,0.5027932960893855,0.5240374923501395,0.000685283227191901
0.4016759776536313,0.5027932960893855,0.5410061259221408,0.00033415346443152005
0.43184357541899443,0.5027932960893855,0.5591104416419068,0.0001560312001512355
0.4620111731843576,0.5027932960893855,0.5784684009379079,6.942572992234587e-05
0.4921787709497206,0.5027932960893855,0.5992148877548086,2.927210700770031e-05
0.5223463687150838,0.5027932960893855,0.6215048560249071,1.1621487752994555e-05
0.5525139664804469,0.5027932960893855,0.6455172067704438,4.313126845215076e-06
0.5826815642458101,0.5027932960893855,0.6714596000963708,1.4839105738800592e-06
0.6128491620111731,0.5027932960893855,0.6995744760890334,4.6868253094413956e-07
0.6430167597765363,0.5027932960893855,0.7301466544344405,1.3435444164193853e-07
0.6731843575418994,0.5027932960893855,0.7635130177682569,3.4489162656311016e-08
0.7033519553072626,0.5027932960893855,0.8000749772357288,7.802232628950705e-09
0.7335195530726256,0.5027932960893855,0.8403146997790967,1.5258867997054232e-09
0.7636871508379888,0.5027932960893855,0.8848164916601734,2.520573733795976e-10
0.7938547486033519,0.5027932960893855,0.9342953565717882,3.418298713878894e-11
0.8240223463687151,0.5027932960893855,0.9896357031036455,3.67452645064262e-12
0.8541899441340782,0.5027932960893855,1.0519446746943142,2.996339106981375e-13
0.8843575418994413,0.5027932960893855,1.1226269796717006,1.7529916484538545e-14
0.9145251396648044,0.5027932960893855,1.2034920622447622,6.848737628069241e-16
0.9446927374301676,0.5027932960893855,1.2969111873447392,1.6265494341246535e-17
0.9748603351955307,0.5027932960893855,1.4060538431108938,2.0711617444514086e-19
0.1,0.6703910614525139,0.3456138563576387,0.15254219520205536
0.13016759776536313,0.6703910614525139,0.3542796116168768,0.0984260350560852
0.16033519553072625,0.6703910614525139,0.363391105041537,0.06324111227718669
0.19050279329608938,0.6703910614525139,0.37298363543370394,0.04024147296980248
0.22067039106145253,0.6703910614525139,0.383096329817011,0.025257553648157308
0.2508379888268156,0.6703910614525139,0.3937726768719493,0.015584919855165712
0.2810055865921788,0.6703910614525139,0.40506115212469324,0.009425277299921441
0.31117318435754193,0.6703910614525139,0.4170159538452617,0.005570245266819961
0.34134078212290503,0.6703910614525139,0.4296978732225721,0.0032072498505623568
0.3715083798882681,0.6703910614525139,0.44317532829751044,0.0017934336891143566
0.4016759776536313,0.6703910614525139,0.457525598772065,0.0009705929327598656
0.43184357541899443,0.6703910614525139,0.4728363087495644,0.0005064608416121925
0.4620111731843576,0.6703910614525139,0.4892072174944735,0.00025373654916851477
0.4921787709497206,0.6703910614525139,0.5067523955405449,0.00012147610465865383
0.5223463687150838,0.6703910614525139,0.5256028864883218,5.527548961230608e-05
0.5525139664804469,0.6703910614525139,0.5459099858470406,2.3759268891525254e-05
0.5826815642458101,0.6703910614525139,0.5678493105077255,9.578696042278936e-06
0.6128491620111731,0.6703910614525139,0.5916258905806775,3.5922503077886514e-06
0.6430167597765363,0.6703910614525139,0.6174805963465447,1.24112536738999e-06
0.6731843575418994,0.6703910614525139,0.6456983274066689,3.905723465847271e-07
0.7033519553072626,0.6703910614525139,0.6766185547314931,1.104423539207611e-07
0.7335195530726256,0.6703910614525139,0.7106490439790876,2.7609367415405763e-08
0.7636871508379888,0.6703910614525139,0.7482839394104743,5.982975495854243e-09
0.7938547486033519,0.6703910614525139,0.7901279153112327,1.0971608236901972e-09
0.8240223463687151,0.6703910614525139,0.8369289106605635,1.65273593554711e-10
0.8541899441340782,0.6703910614525139,0.8896232299481699,1.9704433965164488e-11
0.8843575418994413,0.6703910614525139,0.9493988264855415,1.7736575394524852e-12
0.9145251396648044,0.6703910614525139,1.017785936263513,1.134360278863247e-13
0.9446927374301676,0.6703910614525139,1.0967899236495646,4.76064589827018e-15
0.9748603351955307,0.6703910614525139,1.1890912055359175,1.1788648199205497e-16
0.1,0.8379888268156424,0.2922835417148457,0.18830445400012708
0.13016759776536313,0.8379888268156424,0.2996121183682747,0.12858747643610663
0.16033519553072625,0.8379888268156424,0.30731765308420755,0.08760291038911233
0.19050279329608938,0.8379888268156424,0.3154299978454331,0.05924465176258454
0.22067039106145253,0.8379888268156424,0.3239822421384808,0.039629829222942246
0.2508379888268156,0.8379888268156424,0.33301116407662534,0.026142667872015832
0.2810055865921788,0.8379888268156424,0.34255775911828407,0.016961753959032017
0.31117318435754193,0.8379888268156424,0.3526678624116275,0.010796016047448525
0.34134078212290503,0.8379888268156424,0.3633928846963438,0.006723447945954603
0.3715083798882681,0.8379888268156424,0.37479068669456406,0.004085682703276861
0.4016759776536313,0.8379888268156424,0.3869266233814557,0.0024154598746768917
0.43184357541899443,0.8379888268156424,0.3998747979296474,0.0013848223845571582
0.4620111731843576,0.8379888268156424,0.41371957614392463,0.0007671641829636245
0.4921787709497206,0.8379888268156424,0.4285574267826927,0.0004090073402637521
0.5223463687150838,0.8379888268156424,0.4444991726239777,0.00020889884802308267
0.5525139664804469,0.8379888268156424,0.46167276336213287,0.00010167900642798121
0.5826815642458101,0.8379888268156424,0.4802267171365476,4.688113682778117e-05
