Ns_diag,cutoff,tail_probability,eta_s,eta_i,Gamma,Fq_fock,local_variance,qzzb_bound,qzzb_fidelity_convention,guard_ratio,phase_wrapping_probability,Geff_analytic_envelope,classification
1.5,8,0.016796159999999994,0.6000000000000001,0.9,1.5,0.2869285489252277,3.485188224545044,0.5314971009984194,squared_Uhlmann_fidelity_only,0.15250169194744165,0.09241062580317357,0.2535570001686703,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,1.5,0.3074907034662486,3.2521308407939036,0.521964919322766,squared_Uhlmann_fidelity_only,0.16049936022726102,0.0814960097129743,0.29359231598477603,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,1.5,0.32533155293704163,3.0737873131952886,0.5139942531138952,squared_Uhlmann_fidelity_only,0.1672185485662584,0.0731495172332033,0.34864087523192167,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,1.5,0.34112355706654424,2.931489131385102,0.5071487370679412,squared_Uhlmann_fidelity_only,0.17300038115042166,0.0665246853947142,0.4290964618239036,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,1.5,0.3555039562810143,2.8129082175657496,0.5010577475696326,squared_Uhlmann_fidelity_only,0.17812801158625816,0.061047951309604956,0.5578254003710745,stop-extrapolation
1.5,8,0.016796159999999994,0.2,0.9,1.875,0.1036144984816323,9.651159004328623,0.6436580986287831,squared_Uhlmann_fidelity_only,0.06669231108306238,0.3118950046476846,0.11276100503303563,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,1.875,0.13414642631166482,7.454540739510137,0.6201158750423136,squared_Uhlmann_fidelity_only,0.08318632853605727,0.24988041457469956,0.1236733603588133,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,1.875,0.15787793101604317,6.334007505446613,0.6037871355349127,squared_Uhlmann_fidelity_only,0.09532466373235525,0.2119300367058844,0.1369240775401147,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,1.875,0.1770349498847558,5.648602158223383,0.5915742292364373,squared_Uhlmann_fidelity_only,0.10472931402598572,0.18622093971538045,0.15335496684492847,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,1.875,0.19293937099316563,5.182975329775603,0.581983660797507,squared_Uhlmann_fidelity_only,0.11228756144257085,0.16760502327130977,0.17426700777832782,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,1.875,0.20644086749217783,4.84400212103299,0.5741840375734302,squared_Uhlmann_fidelity_only,0.11853505081682016,0.15346272019482443,0.20178285111174796,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,1.875,0.2181276900613712,4.584470681914091,0.5676611008991282,squared_Uhlmann_fidelity_only,0.12382260467682182,0.14230699904815866,0.23961713569520077,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,1.875,0.22845339847985063,4.377260336918118,0.5620580128386713,squared_Uhlmann_fidelity_only,0.12840406317582598,0.13320542492732274,0.2949133977787087,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,1.875,0.23784740469664067,4.2043763364811015,0.5570720500535321,squared_Uhlmann_fidelity_only,0.1324981413342697,0.12548734232265835,0.38338741711232116,stop-extrapolation
1.5,8,0.016796159999999994,0.2,0.9,2.25,0.07062307641771787,14.159677696355928,0.6739743558797965,squared_Uhlmann_fidelity_only,0.047598142438881046,0.40378621701502915,0.07749942982490024,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,2.25,0.09115941366824659,10.969794119554855,0.6546505024649634,squared_Uhlmann_fidelity_only,0.059677555962329085,0.34286019338989515,0.0849993746466648,stop-extrapolation
