nret,dark_rate_hz,background_rate_hz,gate_time_s,visibility,samples,max_classical_fi,phase_at_max_fi_rad,crlb_phase_variance,noise_counts_per_gate,sbr
0.007742636826811269,1.0,1000.0,1e-06,0.5,1,0.0018074676980307709,1.806415775814131,553.2602331369441,0.001001,7.734901924886383
0.007742636826811269,10.0,0.0,1e-06,0.5,1,0.002071543299642838,1.8409732950036188,482.7318840848818,9.999999999999999e-06,774.263682681127
0.007742636826811269,10.0,10.0,1e-06,0.5,1,0.002068464940161762,1.8409732950036188,483.45030200115264,1.9999999999999998e-05,387.1318413405635
0.007742636826811269,10.0,100.0,1e-06,0.5,1,0.002041189379437369,1.837831702350029,489.91044636712684,0.00010999999999999999,70.38760751646609
0.007742636826811269,10.0,1000.0,1e-06,0.5,1,0.0018053951504601563,1.806415775814131,553.89536176893,0.00101,7.6659770562487815
0.007742636826811269,25.0,0.0,1e-06,0.5,1,0.0020669291887569956,1.8409732950036188,483.80951095928805,2.4999999999999998e-05,309.7054730724508
0.007742636826811269,25.0,10.0,1e-06,0.5,1,0.0020638645172027428,1.8409732950036188,484.52792887555876,3.5e-05,221.21819505175057
0.007742636826811269,25.0,100.0,1e-06,0.5,1,0.002036717075546925,1.837831702350029,490.9862110973206,0.000125,61.941094614490154
0.007742636826811269,25.0,1000.0,1e-06,0.5,1,0.0018019514466002513,1.806415775814131,554.9539094889064,0.0010249999999999999,7.553792026157337
0.007742636826811269,100.0,0.0,1e-06,0.5,1,0.00204418184298534,1.837831702350029,489.1932698803311,9.999999999999999e-05,77.4263682681127
0.007742636826811269,100.0,10.0,1e-06,0.5,1,0.002041189379437369,1.837831702350029,489.91044636712684,0.00010999999999999999,70.38760751646609
0.007742636826811269,100.0,100.0,1e-06,0.5,1,0.0020146745934312366,1.8346901096964392,496.35807353726443,0.00019999999999999998,38.71318413405635
0.007742636826811269,100.0,1000.0,1e-06,0.5,1,0.001784944083721871,4.479911124019045,560.2416395671358,0.0010999999999999998,7.03876075164661
0.007742636826811269,1000.0,0.0,1e-06,0.5,1,0.0018076982748639562,1.806415775814131,553.1896632889458,0.001,7.742636826811269
0.007742636826811269,1000.0,10.0,1e-06,0.5,1,0.0018053951504601563,1.806415775814131,553.89536176893,0.00101,7.6659770562487815
