phi_rad,classical_fi,mean_counts
0.6723008278682158,0.011319971614253365,0.22619425335934776
0.6785840131753954,0.011515180709395318,0.22587506200232063
0.6848671984825749,0.011711561872193087,0.2255533736411471
0.6911503837897546,0.011909097526419192,0.22522920097553284
0.6974335690969341,0.012107769948559775,0.22490255680325968
0.7037167544041137,0.012307561268258188,0.22457345401968012
0.7099999397112933,0.012508453468764794,0.22424190561720866
0.7162831250184729,0.012710428387393247,0.22390792468480844
0.7225663103256524,0.012913467715983189,0.22357152440747483
0.7288494956328321,0.013117553001369681,0.2232327180657148
0.7351326809400116,0.013322665645859183,0.22289151903502252
0.7414158662471912,0.013528786907712503,0.22254794078535162
0.7476990515543708,0.013735897901634531,0.222201996880583
0.7539822368615504,0.013943979599271123,0.2218537009779897
0.7602654221687299,0.014153012829713017,0.22150306682769755
0.7665486074759096,0.014362978280007124,0.2211501082721424
0.7728317927830891,0.014573856495675122,0.22079483924552376
0.7791149780902688,0.014785627881239601,0.22043727377325445
0.7853981633974483,0.014998272700757806,0.22007742597140698
0.7916813487046279,0.015211771078363181,0.2197153100461565
0.7979645340118074,0.015426102998814781,0.21935094029321967
0.8042477193189871,0.015641248308054755,0.21898433109729037
0.8105309046261667,0.0158571867137739,0.21861549693147206
0.8168140899333463,0.0160738977859857,0.21824445235670595
0.8230972752405259,0.01629136095760865,0.21787121202119653
0.8293804605477054,0.016509555525057312,0.2174957906598332
0.8356636458548851,0.0167284606488421,0.2171182030936085
0.8419468311620646,0.01694805535417797,0.21673846422903295
0.8482300164692442,0.01716831853160223,0.2163565890575467
0.8545132017764238,0.01738922893760156,0.21597259265492771
0.8607963870836034,0.01761076519524854,0.2155864901806964
0.8670795723907829,0.017832905794847656,0.21519829687751735
0.8733627576979626,0.018055629094591165,0.21480802807059748
0.8796459430051421,0.018278913321224916,0.21441569916708103
0.8859291283123217,0.018502736570724262,0.21402132565544135
0.8922123136195013,0.018727076808980333,0.2136249231048694
0.8984954989266809,0.018951911872496903,0.21322650716465913
0.9047786842338604,0.019177219469097874,0.21282609356358964
0.9110618695410401,0.019402977178645763,0.21242369810930434
0.9173450548482196,0.01962916245377136,0.2120193366876867
0.9236282401553992,0.01985575262061472,0.21161302526223325
0.9299114254625788,0.02008272487957767,0.2112047798734234
0.9361946107697584,0.020310056306088283,0.21079461663808607
